route_id,route_name,from,to,stop_index,stop_name,longitude,latitude
30031,Route 32,Shimla Pahari,Ek Moriya,2,Durand Road,74.3400582,31.5622878
30031,Route 32,Shimla Pahari,Ek Moriya,3,Queen Mary Road,,
30031,Route 32,Shimla Pahari,Ek Moriya,4,Garhi Shahu Bridge,74.3481851,31.5702387
30031,Route 32,Shimla Pahari,Ek Moriya,5,Cooper Store,,
30031,Route 32,Shimla Pahari,Ek Moriya,6,Chamra Mandi,74.3372181,31.5809589
30031,Route 32,Shimla Pahari,Ek Moriya,7,Ek Moriya,,
30032,Route 33,Cooper Store,Mughalpura,1,Cooper Store,,
30032,Route 33,Cooper Store,Mughalpura,2,Workshop Road,74.3695991,31.5660114
30032,Route 33,Cooper Store,Mughalpura,3,Mughalpura Road,74.3530831,31.565009
30032,Route 33,Cooper Store,Mughalpura,4,Mughalpura,74.3786096,31.5648672
30033,Route 34,Singhpura,Mughalpura,1,Singhpura,74.3751381,31.5788425
30033,Route 34,Singhpura,Mughalpura,2,Wheatman Road,74.3676493,31.5728017
30033,Route 34,Singhpura,Mughalpura,3,Griffin Road,74.3772056,31.5626398
30033,Route 34,Singhpura,Mughalpura,4,Mughalpura,74.3786096,31.5648672
